id,name,notes,order,parent_id,deleted,interval
5d184f8c-a819-4aef-a921-da859f197d3c,pivot field,,1,a9a7ca37-1c1a-463f-a71d-5bc3fed46268,f,0
60f799c8-cdf0-4b49-b5dd-c98e910014e8,pivot field iso,create a pivot for a single iso starting from a given date,1,5d184f8c-a819-4aef-a921-da859f197d3c,f,0
16709362-3119-403f-9fdf-5680f1356dcb,csv rows to country data,chew the memory data into the database,2,,t,0
53e71bcc-aa99-4f7b-9234-e1b6d8726ba8,Delete Me,A task to delete,0,,t,0
47e8de45-ce25-4abd-9053-b0402cb53942,Another Thing,delete me,0,,t,0
d6591c05-c201-44f4-bdbe-32d26405943b,summarize Data,cache summaries for local areas,0,15967828-afcc-4b46-8769-30598808af3e,f,0
4efe5f56-2214-4872-b86b-d8bd9fb292c3,poll github,Use Github API to determine currently stored data files,0,f6ca62b1-d3bf-48f6-a7ce-ed9ba9a1c9f4,f,0
15967828-afcc-4b46-8769-30598808af3e,write csv records,extract records from CSV,0,31ba8ef8-6c07-40bc-9de8-5538c1c2cde0,f,0
21a7c344-b3e5-49a2-85b7-d6fc46746e5f,process csv data,take the rows of a country data file in,1,,f,0
f6ca62b1-d3bf-48f6-a7ce-ed9ba9a1c9f4,update data,check the sizes and names of the github files,0,,t,0
bdb9d701-31c6-4832-a63f-5aebe0a908ac,process github file,Compare Github API snapshot with previous snapshot,1,4efe5f56-2214-4872-b86b-d8bd9fb292c3,t,0
a9a7ca37-1c1a-463f-a71d-5bc3fed46268,create pivot records,pivot covid data into field/iso arrays,3,31ba8ef8-6c07-40bc-9de8-5538c1c2cde0,f,0
31ba8ef8-6c07-40bc-9de8-5538c1c2cde0,update csv data,reading CSV files from download center,0,,f,28800
eb3129ff-3711-4a42-997c-3483db008fbc,update state csv data,,3,,f,28800
aedc7b1e-93ad-44b5-9e1a-7ac6f3689f8e,create state pivot records,Create the pivot summaries of state data,1,eb3129ff-3711-4a42-997c-3483db008fbc,f,0
8c90ec5a-8ac8-466f-b990-74329c240dfc,write state csv records,write csv records to database,2,eb3129ff-3711-4a42-997c-3483db008fbc,t,0
